ISIN,coupon ,issue date,maturity date,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,last coupon date
CA135087G328,0.50%,2016-10-11,2022-03-01,100.04,100.03,100.03,100.03,100.02,100.02,100,100,100,100.01,2021-09-01
CA135087L286,0.25%,2020-05-04,2022-08-01,99.8,99.79,99.78,99.77,99.76,99.72,99.7,99.7,99.72,99.74,2021-08-01
CA135087L773,0.25%,2020-10-26,2023-02-01,99.31,99.26,99.29,99.28,99.26,99.18,99.12,99.1,99.15,99.2,2021-08-01
CA135087M359,0.25%,2021-05-14,2023-08-01,98.808,98.8,98.781,98.763,98.736,98.61,98.553,98.549,98.558,98.611,2021-08-01
CA135087M920,0.75%,2021-10-22,2024-02-01,99.2,99.2,99.16,99.13,99.09,98.92,98.84,98.84,98.83,98.9,2021-08-01
CA135087J967,1.50%,2019-04-05,2024-09-01,100.56,100.63,100.62,100.58,100.52,100.29,100.21,100.15,100.17,100.27,2021-09-01
CA135087K528,1.25%,2019-10-10,2025-03-01,99.64,99.67,99.61,99.59,99.49,99.25,99.12,99.11,99.1,99.26,2021-09-01
CA135087K940,0.50%,2020-04-03,2025-09-01,96.66,96.72,96.77,96.77,96.68,96.43,96.26,96.15,96.19,96.31,2021-09-01
CA135087L518,0.25%,2020-10-08,2026-03-01,95.11,95.17,95.12,95.14,95.04,94.75,94.53,94.5,94.52,94.7,2021-09-01
CA135087L930,1.00%,2021-04-16,2026-09-01,97.66,97.7,97.67,97.695,97.585,97.24,97.02,96.96,97,97.225,2021-09-01
